month,day,from,to,break
1, 1, 10, 18, 1

1, 3, 10, 19, 1

1, 7, 13, 22, 1

1, 8, 10, 19, 1

1, 10, 10, 22, 2

1, 12, 13, 22, 1

1, 13, 10, 22, 2

1, 14, 10, 22, 2

1, 15, 13, 22, 1

1, 17, 10, 19, 1

1, 19, 10, 22, 2

1, 20, 13, 22, 1

1, 22, 13, 22, 1

1, 23, 10, 14, 0

1, 26, 10, 18, 1

1, 27, 10, 21, 2

1, 28, 13, 22, 1

1, 29, 13, 22, 1




2, 1, 10, 14, 0

2, 2, 13, 22, 1

2, 4, 10, 22, 2

2, 5, 10, 19, 1

2, 6, 10, 22.5, 2

2, 8, 10, 22.5, 2

2, 13, 10, 14, 0

2, 14, 13, 22, 1

2, 17, 13, 22, 1

2, 18, 13, 22, 1

2, 19, 10, 22, 2

2, 24, 10, 18, 1

2, 26, 10, 22, 2

2, 27, 10, 22, 2





3, 2, 13, 22, 1

3, 3, 10, 22, 2

3, 4, 13, 19, 1

3, 5, 13, 22, 1

3, 9, 10, 22, 2

3, 10, 10, 22, 2

3, 11, 13, 21, 1

3, 16, 13, 22, 1

3, 17, 13, 22, 1

3, 18, 13, 21, 1

3, 23, 13, 22, 1

3, 24, 13, 20, 1

